#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
2.000000000000000000e+00 7.615436191908527103e-11 1.000000000000152340e+03 1.000000000000152340e+03 1.120678000000000111e+03 4.335930614671115690e-11 7.226551024451859483e-12
3.000000000000000000e+00 7.615436889149402596e-11 1.000000000000152340e+03 1.000000000000152340e+03 5.302083000000000084e+02 1.927080273187162744e-11 1.605900227655968886e-12
4.000000000000000000e+00 7.615437818804004498e-11 1.000000000000152340e+03 1.000000000000152340e+03 3.008260999999999967e+02 1.083982653667778922e-11 5.419913268338894612e-13
5.000000000000000000e+00 7.615438980872416818e-11 1.000000000000152340e+03 1.000000000000152340e+03 1.918405999999999949e+02 6.937488983473785588e-12 2.312496327824595095e-13
6.000000000000000000e+00 7.615440375354742955e-11 1.000000000000152340e+03 1.000000000000152340e+03 1.327290000000000134e+02 4.817700682967906861e-12 1.147071591182834811e-13
7.000000000000000000e+00 7.615442002251116032e-11 1.000000000000152340e+03 1.000000000000152340e+03 9.745529999999999404e+01 3.539535195649890013e-12 6.320598563660517159e-14
8.000000000000000000e+00 7.615443861561680806e-11 1.000000000000152340e+03 1.000000000000152340e+03 7.478762000000000398e+01 2.709956634169447306e-12 3.763828658568676604e-14
9.000000000000000000e+00 7.615445953286607883e-11 1.000000000000152340e+03 1.000000000000152340e+03 5.947957000000000249e+01 2.141200303541291848e-12 2.379111448379213340e-14
1.000000000000000000e+01 7.615448277426091133e-11 1.000000000000152340e+03 1.000000000000152340e+03 4.858715000000000117e+01 1.734372245868446397e-12 1.576702041698587479e-14
1.100000000000000000e+01 7.615450833980341230e-11 1.000000000000152340e+03 1.000000000000152340e+03 4.055883999999999645e+01 1.433365492453261310e-12 1.085882948828228366e-14
1.200000000000000000e+01 7.615453622949594695e-11 1.000000000000152340e+03 1.000000000000152340e+03 3.450970000000000226e+01 1.204425170741976715e-12 7.720674171422927702e-15
1.300000000000000000e+01 7.615456644334102267e-11 1.000000000000152340e+03 1.000000000000152340e+03 2.980561000000000149e+01 1.026255766786062687e-12 5.638767949373971318e-15
1.400000000000000000e+01 7.615459898134144412e-11 1.000000000000152340e+03 1.000000000000152340e+03 2.605922999999999945e+01 8.848837989124725032e-13 4.213732375773678790e-15
1.500000000000000000e+01 7.615463384350018399e-11 1.000000000000152340e+03 1.000000000000152340e+03 2.303142000000000067e+01 7.708321092748648634e-13 3.211800455311937062e-15
1.600000000000000000e+01 7.615467102982043466e-11 1.000000000000152340e+03 1.000000000000152340e+03 2.055621999999999971e+01 6.774891585423618265e-13 2.490768965229271212e-15
1.700000000000000000e+01 7.615471054030558242e-11 1.000000000000152340e+03 1.000000000000152340e+03 1.850588000000000122e+01 6.001288047987702874e-13 1.961205244440425698e-15
1.800000000000000000e+01 7.615475237495928495e-11 1.000000000000152340e+03 1.000000000000152340e+03 1.677310999999999908e+01 5.353000758853229621e-13 1.565204900249482170e-15
1.900000000000000000e+01 7.615479653378532919e-11 1.000000000000152340e+03 1.000000000000152340e+03 1.531480999999999959e+01 4.804355251713147011e-13 1.264304013608722823e-15
