#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
2.000000000000000000e+00 8.461595768787251798e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.120678000000000111e+03 1.435484608516175805e-11 2.392474347526959675e-12
3.000000000000000000e+00 8.461596543499336039e-12 1.000000000000016939e+03 1.000000000000016939e+03 5.302083000000000084e+02 6.379931593405224991e-12 5.316609661171020153e-13
4.000000000000000000e+00 8.461597576448893707e-12 1.000000000000016939e+03 1.000000000000016939e+03 3.008260999999999967e+02 3.588711521290439512e-12 1.794355760645219857e-13
5.000000000000000000e+00 8.461598867636018508e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.918405999999999949e+02 2.296775373625881336e-12 7.655917912086271120e-14
6.000000000000000000e+00 8.461600417060825146e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.327290000000000134e+02 1.594982898351306248e-12 3.797578329407871988e-14
7.000000000000000000e+00 8.461602224723462257e-12 1.000000000000016939e+03 1.000000000000016939e+03 9.745529000000000508e+01 1.171824170217286466e-12 2.092543161102297216e-14
8.000000000000000000e+00 8.461604290624088168e-12 1.000000000000016939e+03 1.000000000000016939e+03 7.478762000000000398e+01 8.971778803226098779e-13 1.246080389336958164e-14
9.000000000000000000e+00 8.461606614762896750e-12 1.000000000000016939e+03 1.000000000000016939e+03 5.947957000000000249e+01 7.088812881561361213e-13 7.876458757290402049e-15
1.000000000000000000e+01 8.461609197140101259e-12 1.000000000000016939e+03 1.000000000000016939e+03 4.858715000000000117e+01 5.741938434064703340e-13 5.219944030967912056e-15
1.100000000000000000e+01 8.461612037755934341e-12 1.000000000000016939e+03 1.000000000000016939e+03 4.055883000000000038e+01 4.745403664516284094e-13 3.595002776148700334e-15
1.200000000000000000e+01 8.461615136610659336e-12 1.000000000000016939e+03 1.000000000000016939e+03 3.450970000000000226e+01 3.987457245878265619e-13 2.556062337101452421e-15
1.300000000000000000e+01 8.461618493704557356e-12 1.000000000000016939e+03 1.000000000000016939e+03 2.980561000000000149e+01 3.397596706547161605e-13 1.866811377223715475e-15
1.400000000000000000e+01 8.461622109037938595e-12 1.000000000000016939e+03 1.000000000000016939e+03 2.605922999999999945e+01 2.929560425543216165e-13 1.395028774068198223e-15
1.500000000000000000e+01 8.461625982611131015e-12 1.000000000000016939e+03 1.000000000000016939e+03 2.303142000000000067e+01 2.551972637362090542e-13 1.063321932234204300e-15
1.600000000000000000e+01 8.461630114424493279e-12 1.000000000000016939e+03 1.000000000000016939e+03 2.055621000000000009e+01 2.242944700806524695e-13 8.246120223553399033e-16
1.700000000000000000e+01 8.461634504478396969e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.850588000000000122e+01 1.986829907980866115e-13 6.492908196015902330e-16
1.800000000000000000e+01 8.461639152773252447e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.677310999999999908e+01 1.772203220390340303e-13 5.181880761375263779e-16
1.900000000000000000e+01 8.461644059309479764e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.531480999999999959e+01 1.590564663175817926e-13 4.185696482041626156e-16
2.000000000000000000e+01 8.461649224087528054e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.405718000000000067e+01 1.435484608516175835e-13 3.417820496467085744e-16
2.100000000000000000e+01 8.461654647107873914e-12 1.000000000000016939e+03 1.000000000000016939e+03 1.296739999999999959e+01 1.302026855796984934e-13 2.818239947612521667e-16
2.200000000000000000e+01 8.461660328371010100e-12 1.692332065674202020e-11 1.692332065674202020e-11 1.201740999999999993e+01 1.186350916129071024e-13 2.344567027923065114e-16
2.300000000000000000e+01 8.461666267877460060e-12 1.692333253575492012e-11 1.692333253575492012e-11 1.118157000000000068e+01 1.085432213047297272e-13 1.966362704795828424e-16
2.400000000000000000e+01 8.461672465627763402e-12 1.692334493125552680e-11 1.692334493125552680e-11 1.044302000000000064e+01 9.968632497071523787e-14 1.661438749511920825e-16
2.500000000000000000e+01 8.461678921622492043e-12 1.692335784324498409e-11 1.692335784324498409e-11 9.787328000000000472e+00 9.187085093741215022e-14 1.413397706729417761e-16
2.600000000000000000e+01 8.461685635862232441e-12 1.692337127172446488e-11 1.692337127172446488e-11 9.201333999999999236e+00 8.493970418656723718e-14 1.209967296104946436e-16
2.700000000000000000e+01 8.461692608347604982e-12 1.692338521669520996e-11 1.692338521669520996e-11 8.676800000000000068e+00 7.876433164266114317e-14 1.041856238659538849e-16
2.800000000000000000e+01 8.461699839079242976e-12 1.692339967815848595e-11 1.692339967815848595e-11 8.203775999999999513e+00 7.323871817560367122e-14 9.019546573350205566e-17
2.900000000000000000e+01 8.461707328057810429e-12 1.692341465611562086e-11 1.692341465611562086e-11 7.776506999999999614e+00 6.827480603838344878e-14 7.847678854986603181e-17
3.000000000000000000e+01 8.461715075283992350e-12 1.692343015056798470e-11 1.692343015056798470e-11 7.388988000000000334e+00 6.379896472772720217e-14 6.860103734164215730e-17
3.100000000000000000e+01 8.461723080758499597e-12 1.692344616151699919e-11 1.692344616151699919e-11 7.034748999999999697e+00 5.974924472561934782e-14 6.023109347340660142e-17
3.200000000000000000e+01 8.461731344482065648e-12 1.692346268896413130e-11 1.692346268896413130e-11 6.710645999999999667e+00 5.607322232323688091e-14 5.309964235155007699e-17
3.300000000000000000e+01 8.461739866455443365e-12 1.692347973291088673e-11 1.692347973291088673e-11 6.413549999999999862e+00 5.272629448079576925e-14 4.699313233582510056e-17
3.400000000000000000e+01 8.461748646679417924e-12 1.692349729335883585e-11 1.692349729335883585e-11 6.140130000000000088e+00 4.967031944177969917e-14 4.173976423678966563e-17
3.500000000000000000e+01 8.461757685154789040e-12 1.692351537030957808e-11 1.692351537030957808e-11 5.887948999999999877e+00 4.687252523748579902e-14 3.720041685514745684e-17
3.600000000000000000e+01 8.461766981882385511e-12 1.692353396376477102e-11 1.692353396376477102e-11 5.654531999999999670e+00 4.430462740342617864e-14 3.326173228485448869e-17
3.700000000000000000e+01 8.461776536863060365e-12 1.692355307372612073e-11 1.692355307372612073e-11 5.437745999999999746e+00 4.194211130243665647e-14 2.983080462477713856e-17
3.800000000000000000e+01 8.461786350097686020e-12 1.692357270019537204e-11 1.692357270019537204e-11 5.236985999999999919e+00 3.976364486985905985e-14 2.683106941286036361e-17
3.900000000000000000e+01 8.461796421587159127e-12 1.692359284317431825e-11 1.692359284317431825e-11 5.050688000000000066e+00 3.775059538035820613e-14 2.419909960279372088e-17
4.000000000000000000e+01 8.461806751332408648e-12 1.692361350266481730e-11 1.692361350266481730e-11 4.876606999999999914e+00 3.588662969933477252e-14 2.188209128008217842e-17
4.100000000000000000e+01 8.461817339334373239e-12 1.692363467866874648e-11 1.692363467866874648e-11 4.714183000000000234e+00 3.415738193328742255e-14 1.983587801003915412e-17
4.200000000000000000e+01 8.461828185594028716e-12 1.692365637118805743e-11 1.692365637118805743e-11 4.561582999999999721e+00 3.255017579808738217e-14 1.802335315508714405e-17
4.300000000000000000e+01 8.461839290112362201e-12 1.692367858022472440e-11 1.692367858022472440e-11 4.418465999999999561e+00 3.105379164649965512e-14 1.641320911548607653e-17
4.400000000000000000e+01 8.461850652890393130e-12 1.692370130578078626e-11 1.692370130578078626e-11 4.283529999999999838e+00 2.965827012966747048e-14 1.497892430791286345e-17
4.500000000000000000e+01 8.461862273929161942e-12 1.692372454785832388e-11 1.692372454785832388e-11 4.157219999999999693e+00 2.835474605398456426e-14 1.369794495361573192e-17
4.600000000000000000e+01 8.461874153229733309e-12 1.692374830645946662e-11 1.692374830645946662e-11 4.038565000000000182e+00 2.713619707256593732e-14 1.255143250349950833e-17
4.700000000000000000e+01 8.461886290793191288e-12 1.692377258158638258e-11 1.692377258158638258e-11 3.926501000000000019e+00 2.599457854975756324e-14 1.152241956992799730e-17
4.800000000000000000e+01 8.461898686620652252e-12 1.692379737324130450e-11 1.692379737324130450e-11 3.820305999999999980e+00 2.492354765607455369e-14 1.059674645241264964e-17
4.900000000000000000e+01 8.461911340713247110e-12 1.692382268142649422e-11 1.692382268142649422e-11 3.719749000000000194e+00 2.391740206693445468e-14 9.762204925279370283e-18
