#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
2.000000000000000000e+00 8.461595768787252151e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.120678000000000111e+03 3.486658772125301911e-12 5.811097953542169516e-13
3.000000000000000000e+00 8.461596543499336241e-14 1.000000000000000114e+03 1.000000000000000114e+03 5.302083000000000084e+02 1.549626120944578538e-12 1.291355100787148697e-13
4.000000000000000000e+00 8.461597576448894869e-14 1.000000000000000114e+03 1.000000000000000114e+03 3.008260999999999967e+02 8.716646930313254779e-13 4.358323465156627894e-14
5.000000000000000000e+00 8.461598867636018911e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.918405999999999949e+02 5.578654035400481685e-13 1.859551345133493811e-14
6.000000000000000000e+00 8.461600417060825752e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.327290000000000134e+02 3.874065302361446344e-13 9.223965005622490919e-15
7.000000000000000000e+00 8.461602224723461803e-14 1.000000000000000114e+03 1.000000000000000114e+03 9.745529000000000508e+01 2.846252058877797396e-13 5.082592962281780839e-15
8.000000000000000000e+00 8.461604290624089885e-14 1.000000000000000114e+03 1.000000000000000114e+03 7.478762000000000398e+01 2.179161732578313695e-13 3.026613517469879956e-15
9.000000000000000000e+00 8.461606614762898062e-14 1.000000000000000114e+03 1.000000000000000114e+03 5.947957000000000249e+01 1.721806801049531175e-13 1.913118667832812584e-15
1.000000000000000000e+01 8.461609197140102168e-14 1.000000000000000114e+03 1.000000000000000114e+03 4.858715000000000117e+01 1.394663508850120421e-13 1.267875917136473125e-15
1.100000000000000000e+01 8.461612037755934442e-14 1.000000000000000114e+03 1.000000000000000114e+03 4.055883000000000038e+01 1.152614470124066529e-13 8.731927803970200735e-16
1.200000000000000000e+01 8.461615136610659942e-14 1.000000000000000114e+03 1.000000000000000114e+03 3.450970000000000226e+01 9.685163255903615860e-14 6.208437984553600112e-16
1.300000000000000000e+01 8.461618493704557609e-14 1.000000000000000114e+03 1.000000000000000114e+03 2.980561000000000149e+01 8.252446797929707292e-14 4.534311427433905539e-16
1.400000000000000000e+01 8.461622109037937938e-14 1.000000000000000114e+03 1.000000000000000114e+03 2.605922999999999945e+01 7.115630147194493491e-14 3.388395308187854419e-16
1.500000000000000000e+01 8.461625982611131621e-14 1.000000000000000114e+03 1.000000000000000114e+03 2.303142000000000067e+01 6.198504483778312282e-14 2.582710201574296850e-16
1.600000000000000000e+01 8.461630114424493329e-14 1.000000000000000114e+03 1.000000000000000114e+03 2.055621000000000009e+01 5.447904331445784237e-14 2.002906004208008766e-16
1.700000000000000000e+01 8.461634504478397929e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.850588000000000122e+01 4.825825290138824675e-14 1.577067088280661720e-16
1.800000000000000000e+01 8.461639152773253103e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.677310999999999908e+01 4.304517002623827939e-14 1.258630702521587006e-16
1.900000000000000000e+01 8.461644059309480420e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.531480999999999959e+01 3.863333819529419254e-14 1.016666794613005100e-16
2.000000000000000000e+01 8.461649224087527953e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.405718000000000067e+01 3.486658772125301053e-14 8.301568505060241108e-17
2.100000000000000000e+01 8.461654647107874066e-14 1.000000000000000114e+03 1.000000000000000114e+03 1.296739999999999959e+01 3.162502287641996616e-14 6.845243046844148312e-17
2.200000000000000000e+01 8.461660328371009746e-14 1.692332065674201949e-13 1.692332065674201949e-13 1.201740999999999993e+01 2.881536175310166321e-14 5.694735524328391569e-17
2.300000000000000000e+01 8.461666267877460060e-14 1.692333253575492012e-13 1.692333253575492012e-13 1.118157000000000068e+01 2.636419512296170848e-14 4.776122304884367656e-17
2.400000000000000000e+01 8.461672465627763958e-14 1.692334493125552792e-13 1.692334493125552792e-13 1.044302000000000064e+01 2.421303378975527940e-14 4.035505631625880065e-17
2.500000000000000000e+01 8.461678921622491942e-14 1.692335784324498388e-13 1.692335784324498388e-13 9.787328000000000472e+00 2.231480908615678206e-14 3.433047551716428175e-17
2.600000000000000000e+01 8.461685635862233451e-14 1.692337127172446690e-13 1.692337127172446690e-13 9.201333999999999236e+00 2.063136666862602008e-14 2.938941120886897390e-17
2.700000000000000000e+01 8.461692608347605689e-14 1.692338521669521138e-13 1.692338521669521138e-13 8.676800000000000068e+00 1.913148426670200195e-14 2.530619611997619169e-17
2.800000000000000000e+01 8.461699839079243531e-14 1.692339967815848706e-13 1.692339967815848706e-13 8.203775999999999513e+00 1.778941347735756589e-14 2.190814467654872728e-17
2.900000000000000000e+01 8.461707328057810883e-14 1.692341465611562177e-13 1.692341465611562177e-13 7.776506999999999614e+00 1.658376727176582311e-14 1.906180146179979564e-17
3.000000000000000000e+01 8.461715075283993107e-14 1.692343015056798621e-13 1.692343015056798621e-13 7.388988000000000334e+00 1.549666262049069512e-14 1.666307808654913495e-17
