#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
1.400000000000000000e+01 7.615459898134144776e-13 1.000000000000001478e+03 1.000000000000001478e+03 2.605922999999999945e+01 1.083037228244125709e-13 5.157320134495837546e-16
1.500000000000000000e+01 7.615463384350017954e-13 1.000000000000001478e+03 1.000000000000001478e+03 2.303142000000000067e+01 9.434457632704384774e-14 3.931024013626826956e-16
1.600000000000000000e+01 7.615467102982043870e-13 1.000000000000001478e+03 1.000000000000001478e+03 2.055621000000000009e+01 8.292003778744088111e-14 3.048530801008855981e-16
1.700000000000000000e+01 7.615471054030557757e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.850588000000000122e+01 7.345165977018985803e-14 2.400381038241498661e-16
1.800000000000000000e+01 7.615475237495928172e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.677310999999999908e+01 6.551706689378045893e-14 1.915703710344457861e-16
1.900000000000000000e+01 7.615479653378532757e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.531480999999999959e+01 5.880202125646778843e-14 1.547421612012310227e-16
2.000000000000000000e+01 7.615484301678775410e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.405718000000000067e+01 5.306882418396217855e-14 1.263543432951480568e-16
2.100000000000000000e+01 7.615489182397086281e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.296739999999999959e+01 4.813498792196115595e-14 1.041882855453704682e-16
2.200000000000000000e+01 7.615494295533908646e-13 1.523098859106781729e-12 1.523098859106781729e-12 1.201740999999999993e+01 4.385853238343981015e-14 8.667694146924863535e-17
2.300000000000000000e+01 7.615499641089714054e-13 1.523099928217942811e-12 1.523099928217942811e-12 1.118157000000000068e+01 4.012768796856143940e-14 7.269508689956782804e-17
2.400000000000000000e+01 7.615505219064987183e-13 1.523101043812997437e-12 1.523101043812997437e-12 1.044302000000000064e+01 3.685343995119354297e-14 6.142239991865591201e-17
2.500000000000000000e+01 7.615511029460243000e-13 1.523102205892048600e-12 1.523102205892048600e-12 9.787328000000000472e+00 3.396418532138036010e-14 5.225259280212363191e-17
2.600000000000000000e+01 7.615517072276009601e-13 1.523103414455201920e-12 1.523103414455201920e-12 9.201333999999999236e+00 3.140184937503183820e-14 4.473197916671202270e-17
2.700000000000000000e+01 7.615523347512844363e-13 1.523104669502568873e-12 1.523104669502568873e-12 8.676800000000000068e+00 2.911890873400486292e-14 3.851707504497997793e-17
2.800000000000000000e+01 7.615529855171318800e-13 1.523105971034263760e-12 1.523105971034263760e-12 8.203775999999999513e+00 2.707617180458079972e-14 3.334503916820295635e-17
2.900000000000000000e+01 7.615536595252029669e-13 1.523107319050405934e-12 1.523107319050405934e-12 7.776506999999999614e+00 2.524108544690887392e-14 2.901274189299870729e-17
3.000000000000000000e+01 7.615543567755593923e-13 1.523108713551118785e-12 1.523108713551118785e-12 7.388988000000000334e+00 2.358642996165438584e-14 2.536175264694019888e-17
3.100000000000000000e+01 7.615550772682650728e-13 1.523110154536530146e-12 1.523110154536530146e-12 7.034748999999999697e+00 2.208930385944673351e-14 2.226744340670033471e-17
3.200000000000000000e+01 7.615558210033859446e-13 1.523111642006771889e-12 1.523111642006771889e-12 6.710645999999999667e+00 2.073032714002795869e-14 1.963099160987496284e-17
3.300000000000000000e+01 7.615565879809899634e-13 1.523113175961979927e-12 1.523113175961979927e-12 6.413549999999999862e+00 1.949301093947563609e-14 1.737345003518327398e-17
3.400000000000000000e+01 7.615573782011476091e-13 1.523114756402295218e-12 1.523114756402295218e-12 6.140130000000000088e+00 1.836325499502362978e-14 1.543130671850725350e-17
3.500000000000000000e+01 7.615581916639309773e-13 1.523116383327861955e-12 1.523116383327861955e-12 5.887948999999999877e+00 1.732894414292294537e-14 1.375313027216106794e-17
3.600000000000000000e+01 7.615590283694146879e-13 1.523118056738829376e-12 1.523118056738829376e-12 5.654531999999999670e+00 1.637962215725670831e-14 1.229701363157410469e-17
3.700000000000000000e+01 7.615598883176753803e-13 1.523119776635350761e-12 1.523119776635350761e-12 5.437745999999999746e+00 1.550622644020042685e-14 1.102861055490784390e-17
3.800000000000000000e+01 7.615607715087917135e-13 1.523121543017583427e-12 1.523121543017583427e-12 5.236985999999999919e+00 1.470087092644283293e-14 9.919616009745500436e-18
3.900000000000000000e+01 7.615616779428443658e-13 1.523123355885688732e-12 1.523123355885688732e-12 5.050686999999999927e+00 1.395666744212004013e-14 8.946581693666693071e-18
4.000000000000000000e+01 7.615626076199168429e-13 1.523125215239833686e-12 1.523125215239833686e-12 4.876606999999999914e+00 1.326757792618091975e-14 8.089986540354218646e-18
4.100000000000000000e+01 7.615635605400936602e-13 1.523127121080187320e-12 1.523127121080187320e-12 4.714183000000000234e+00 1.262829156767922689e-14 7.333502652543105456e-18
4.200000000000000000e+01 7.615645367034625642e-13 1.523129073406925128e-12 1.523129073406925128e-12 4.561582999999999721e+00 1.203412217109530773e-14 6.663412054870048251e-18
4.300000000000000000e+01 7.615655361101126142e-13 1.523131072220225228e-12 1.523131072220225228e-12 4.418465999999999561e+00 1.148092203122125926e-14 6.068140608467896415e-18
4.400000000000000000e+01 7.615665587601353938e-13 1.523133117520270788e-12 1.523133117520270788e-12 4.283529999999999838e+00 1.096500935083902021e-14 5.537883510524758000e-18
4.500000000000000000e+01 7.615676046536246071e-13 1.523135209307249214e-12 1.523135209307249214e-12 4.157219999999999693e+00 1.048310682099131480e-14 5.064302812073098717e-18
4.600000000000000000e+01 7.615686737906759776e-13 1.523137347581351955e-12 1.523137347581351955e-12 4.038565000000000182e+00 1.003256284874832401e-14 4.640408348172213348e-18
4.700000000000000000e+01 7.615697661713873492e-13 1.523139532342774698e-12 1.523139532342774698e-12 3.926501000000000019e+00 9.610463781932906120e-15 4.259957350147564524e-18
4.800000000000000000e+01 7.615708817958586865e-13 1.523141763591717373e-12 1.523141763591717373e-12 3.820305999999999980e+00 9.214464337055368663e-15 3.917714429020139450e-18
4.900000000000000000e+01 7.615720206641922763e-13 1.523144041328384553e-12 1.523144041328384553e-12 3.719749000000000194e+00 8.842456061579704648e-15 3.609165739420287677e-18
5.000000000000000000e+01 7.615731827764923239e-13 1.523146365552984648e-12 1.523146365552984648e-12 3.624976999999999894e+00 8.492539203662718150e-15 3.330407530848124716e-18
5.100000000000000000e+01 7.615743681328652562e-13 1.523148736265730512e-12 1.523148736265730512e-12 3.535035999999999845e+00 8.162998404272823884e-15 3.078053696935453963e-18
5.200000000000000000e+01 7.615755767334196205e-13 1.523151153466839241e-12 1.523151153466839241e-12 3.450105999999999895e+00 7.852281629415976661e-15 2.849158791515231035e-18
5.300000000000000000e+01 7.615768085782659834e-13 1.523153617156531967e-12 1.523153617156531967e-12 3.369012000000000118e+00 7.558981858115766359e-15 2.641153689069100609e-18
5.400000000000000000e+01 7.615780636675173351e-13 1.523156127335034670e-12 1.523156127335034670e-12 3.291357000000000088e+00 7.281821121753439255e-15 2.451791623486006797e-18
5.500000000000000000e+01 7.615793420012883823e-13 1.523158684002576765e-12 1.523158684002576765e-12 3.217385999999999857e+00 7.019636555930607022e-15 2.279102777899547604e-18
5.600000000000000000e+01 7.615806435796961541e-13 1.523161287159392308e-12 1.523161287159392308e-12 3.147299999999999986e+00 6.771368179975050454e-15 2.121355946107472007e-18
5.700000000000000000e+01 7.615819684028598000e-13 1.523163936805719600e-12 1.523163936805719600e-12 3.080693999999999821e+00 6.536048163786741109e-15 1.977026062851404063e-18
5.800000000000000000e+01 7.615833164709008930e-13 1.523166632941801786e-12 1.523166632941801786e-12 3.017338000000000076e+00 6.312791378680464003e-15 1.844766621472958518e-18
5.900000000000000000e+01 7.615846877839426215e-13 1.523169375567885243e-12 1.523169375567885243e-12 2.956758999999999915e+00 6.100787059630683739e-15 1.723386175036916285e-18
6.000000000000000000e+01 7.615860823421105975e-13 1.523172164684221195e-12 1.523172164684221195e-12 2.898791999999999813e+00 5.899291431992734628e-15 1.611828260107304465e-18
6.100000000000000000e+01 7.615875001455325534e-13 1.523175000291065107e-12 1.523175000291065107e-12 2.843774999999999942e+00 5.707621177270143709e-15 1.509154198114792118e-18
6.200000000000000000e+01 7.615889411943382410e-13 1.523177882388676482e-12 1.523177882388676482e-12 2.790563999999999822e+00 5.525147630555264884e-15 1.414528323234834808e-18
6.300000000000000000e+01 7.615904054886597344e-13 1.523180810977319469e-12 1.523180810977319469e-12 2.739418999999999826e+00 5.351291617484937819e-15 1.327205262273049904e-18
