#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
2.000000000000000000e+00 7.615436191908526638e-09 1.000000000015230853e+03 1.000000000015230853e+03 1.120678000000000111e+03 6.238670916524725653e-10 1.039778486087454232e-10
3.000000000000000000e+00 7.615436889149403062e-09 1.000000000015230853e+03 1.000000000015230853e+03 5.302083000000000084e+02 2.772742629566544447e-10 2.310618857972120373e-11
4.000000000000000000e+00 7.615437818804003671e-09 1.000000000015230853e+03 1.000000000015230853e+03 3.008261999999999716e+02 1.559667729131181413e-10 7.798338645655908035e-12
5.000000000000000000e+00 7.615438980872416146e-09 1.000000000015230853e+03 1.000000000015230853e+03 1.918405999999999949e+02 9.981873466439560734e-11 3.327291155479853363e-12
6.000000000000000000e+00 7.615440375354743058e-09 1.000000000015230853e+03 1.000000000015230853e+03 1.327290000000000134e+02 6.931856573916361118e-11 1.650442041408657351e-12
7.000000000000000000e+00 7.615442002251115101e-09 1.000000000015230853e+03 1.000000000015230853e+03 9.745532000000000039e+01 5.092792584918144208e-11 9.094272473068114224e-13
8.000000000000000000e+00 7.615443861561679513e-09 1.000000000015230853e+03 1.000000000015230853e+03 7.478763999999999612e+01 3.899169322827953533e-11 5.415512948372157124e-13
9.000000000000000000e+00 7.615445953286606694e-09 1.000000000015230853e+03 1.000000000015230853e+03 5.947959000000000174e+01 3.080825143962827810e-11 3.423139048847586601e-13
1.000000000000000000e+01 7.615448277426091857e-09 1.000000000015230853e+03 1.000000000015230853e+03 4.858717000000000041e+01 2.495468366609890183e-11 2.268607606008990998e-13
1.100000000000000000e+01 7.615450833980340144e-09 1.000000000015230853e+03 1.000000000015230853e+03 4.055886000000000280e+01 2.062370550917265004e-11 1.562401932513079694e-13
1.200000000000000000e+01 7.615453622949593092e-09 1.000000000015230853e+03 1.000000000015230853e+03 3.450972000000000151e+01 1.732964143479090280e-11 1.110874450948134785e-13
1.300000000000000000e+01 7.615456644334100509e-09 1.000000000015230967e+03 1.000000000015230967e+03 2.980564000000000036e+01 1.476608500952597640e-11 8.113233521717569786e-14
1.400000000000000000e+01 7.615459898134143637e-09 1.000000000015230967e+03 1.000000000015230967e+03 2.605924999999999869e+01 1.273198146229536052e-11 6.062848315378744078e-14
1.500000000000000000e+01 7.615463384350016951e-09 1.000000000015230967e+03 1.000000000015230967e+03 2.303143999999999991e+01 1.109097051826618057e-11 4.621237715944242114e-14
1.600000000000000000e+01 7.615467102982043052e-09 1.000000000015230967e+03 1.000000000015230967e+03 2.055623999999999896e+01 9.747923307069883832e-12 3.583795333481574604e-14
1.700000000000000000e+01 7.615471054030557777e-09 1.000000000015230967e+03 1.000000000015230967e+03 1.850590000000000046e+01 8.634838638788549092e-12 2.821842692414558500e-14
1.800000000000000000e+01 7.615475237495926737e-09 1.000000000015230967e+03 1.000000000015230967e+03 1.677314000000000149e+01 7.702062859907069525e-12 2.252065163715517285e-14
1.900000000000000000e+01 7.615479653378532091e-09 1.000000000015230967e+03 1.000000000015230967e+03 1.531483000000000061e+01 6.912654755152050370e-12 1.819119672408434158e-14
2.000000000000000000e+01 7.615484301678775849e-09 1.000000000015230967e+03 1.000000000015230967e+03 1.405720999999999954e+01 6.238670916524725459e-12 1.485397837267792040e-14
