#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
1.600000000000000000e+01 8.461630114424494119e-10 1.000000000001692342e+03 1.000000000001692342e+03 2.055621999999999971e+01 2.638708253570064239e-12 9.701133285184059516e-15
1.700000000000000000e+01 8.461634504478398908e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.850588000000000122e+01 2.337402466830229846e-12 7.638570153039966775e-15
1.800000000000000000e+01 8.461639152773255032e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.677311999999999870e+01 2.084905286771408527e-12 6.096214288805288036e-15
1.900000000000000000e+01 8.461644059309482284e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.531480999999999959e+01 1.871216933279601757e-12 4.924255087577898996e-15
2.000000000000000000e+01 8.461649224087529411e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.405719000000000030e+01 1.688773282284840871e-12 4.020888767344859824e-15
2.100000000000000000e+01 8.461654647107875142e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.296739999999999959e+01 1.531767149464708339e-12 3.315513310529671884e-15
2.200000000000000000e+01 8.461660328371011651e-10 1.692332065674202330e-09 1.692332065674202330e-09 1.201740999999999993e+01 1.395680398582512924e-12 2.758261657277693154e-15
2.300000000000000000e+01 8.461666267877461094e-10 1.692333253575492219e-09 1.692333253575492219e-09 1.118157000000000068e+01 1.276974293138637206e-12 2.313359226700429841e-15
2.400000000000000000e+01 8.461672465627765276e-10 1.692334493125553055e-09 1.692334493125553055e-09 1.044303000000000026e+01 1.172811685611456080e-12 1.954686142685760297e-15
2.500000000000000000e+01 8.461678921622492883e-10 1.692335784324498577e-09 1.692335784324498577e-09 9.787331999999999255e+00 1.080895358362472179e-12 1.662915935942264920e-15
2.600000000000000000e+01 8.461685635862234315e-10 1.692337127172446863e-09 1.692337127172446863e-09 9.201339000000000823e+00 9.993781146197283219e-13 1.423615547891350997e-15
2.700000000000000000e+01 8.461692608347606856e-10 1.692338521669521371e-09 1.692338521669521371e-09 8.676804999999999879e+00 9.267483548009107570e-13 1.225857612170516861e-15
2.800000000000000000e+01 8.461699839079244333e-10 1.692339967815848867e-09 1.692339967815848867e-09 8.203780999999999324e+00 8.617594830290283687e-13 1.061280151513581831e-15
2.900000000000000000e+01 8.461707328057811592e-10 1.692341465611562318e-09 1.692341465611562318e-09 7.776512000000000313e+00 8.033760497431566813e-13 9.234207468312145599e-16
3.000000000000000000e+01 8.461715075283994159e-10 1.692343015056798832e-09 1.692343015056798832e-09 7.388993000000000144e+00 7.507322447587800338e-13 8.072389728589032793e-16
3.100000000000000000e+01 8.461723080758501342e-10 1.692344616151700268e-09 1.692344616151700268e-09 7.034753000000000256e+00 7.030996069258768162e-13 7.087697650462467937e-16
3.200000000000000000e+01 8.461731344482067263e-10 1.692346268896413453e-09 1.692346268896413453e-09 6.710650000000000226e+00 6.598616835603942497e-13 6.248690185231006422e-16
3.300000000000000000e+01 8.461739866455445691e-10 1.692347973291089138e-09 1.692347973291089138e-09 6.413554999999999673e+00 6.204939812904994279e-13 5.530249387615858614e-16
3.400000000000000000e+01 8.461748646679419346e-10 1.692349729335883869e-09 1.692349729335883869e-09 6.140134999999999899e+00 5.845479822192916091e-13 4.912167917809173014e-16
3.500000000000000000e+01 8.461757685154789557e-10 1.692351537030957911e-09 1.692351537030957911e-09 5.887953000000000436e+00 5.516383099073231304e-13 4.378081824661294587e-16
3.600000000000000000e+01 8.461766981882386609e-10 1.692353396376477322e-09 1.692353396376477322e-09 5.654536000000000229e+00 5.214323552526547218e-13 3.914657321716626886e-16
3.700000000000000000e+01 8.461776536863061463e-10 1.692355307372612293e-09 1.692355307372612293e-09 5.437750000000000306e+00 4.936418378134284027e-13 3.510966129540742478e-16
3.800000000000000000e+01 8.461786350097686795e-10 1.692357270019537359e-09 1.692357270019537359e-09 5.236989999999999590e+00 4.680159006378644108e-13 3.158002028595576109e-16
3.900000000000000000e+01 8.461796421587161130e-10 1.692359284317432226e-09 1.692359284317432226e-09 5.050690999999999597e+00 4.443354281900748796e-13 2.848304026859454235e-16
4.000000000000000000e+01 8.461806751332409875e-10 1.692361350266481975e-09 1.692361350266481975e-09 4.876610999999999585e+00 4.224083458999172012e-13 2.575660645731202283e-16
4.100000000000000000e+01 8.461817339334374984e-10 1.692363467866874997e-09 1.692363467866874997e-09 4.714185999999999765e+00 4.020657122032055072e-13 2.334876377486675498e-16
4.200000000000000000e+01 8.461828185594030460e-10 1.692365637118806092e-09 1.692365637118806092e-09 4.561587000000000280e+00 3.831584539691128450e-13 2.121586123859982430e-16
4.300000000000000000e+01 8.461839290112363752e-10 1.692367858022472750e-09 1.692367858022472750e-09 4.418470000000000120e+00 3.655546270448507927e-13 1.932106908270881550e-16
4.400000000000000000e+01 8.461850652890394358e-10 1.692370130578078872e-09 1.692370130578078872e-09 4.283534000000000397e+00 3.491371075558630863e-13 1.763318725029611431e-16
4.500000000000000000e+01 8.461862273929163493e-10 1.692372454785832699e-09 1.692372454785832699e-09 4.157224000000000252e+00 3.338016382560718954e-13 1.612568300753970427e-16
4.600000000000000000e+01 8.461874153229734084e-10 1.692374830645946817e-09 1.692374830645946817e-09 4.038567999999999714e+00 3.194747697216195318e-13 1.477681636085196883e-16
4.700000000000000000e+01 8.461886290793193873e-10 1.692377258158638775e-09 1.692377258158638775e-09 3.926503999999999994e+00 3.060519431043552444e-13 1.356613222980297943e-16
4.800000000000000000e+01 8.461898686620653350e-10 1.692379737324130670e-09 1.692379737324130670e-09 3.820310000000000095e+00 2.934586402966460681e-13 1.247698300580978160e-16
4.900000000000000000e+01 8.461911340713248855e-10 1.692382268142649771e-09 1.692382268142649771e-09 3.719752000000000169e+00 2.816278669368660043e-13 1.149501497701493977e-16
5.000000000000000000e+01 8.461924253072138440e-10 1.692384850614427688e-09 1.692384850614427688e-09 3.624979999999999869e+00 2.704992588525847896e-13 1.060781407265038342e-16
5.100000000000000000e+01 8.461937423698503940e-10 1.692387484739700788e-09 1.692387484739700788e-09 3.535038999999999820e+00 2.600183099120794458e-13 9.804611987634972049e-17
5.200000000000000000e+01 8.461950852593553038e-10 1.692390170518710608e-09 1.692390170518710608e-09 3.450108000000000175e+00 2.501357027908197655e-13 9.076041465559498306e-17
5.300000000000000000e+01 8.461964539758513064e-10 1.692392907951702613e-09 1.692392907951702613e-09 3.369015000000000093e+00 2.408067272694202336e-13 8.413931770419993353e-17
5.400000000000000000e+01 8.461978485194639265e-10 1.692395697038927853e-09 1.692395697038927853e-09 3.291358999999999924e+00 2.319907732190062251e-13 7.811137145421085792e-17
5.500000000000000000e+01 8.461992688903205497e-10 1.692398537780641099e-09 1.692398537780641099e-09 3.217388999999999832e+00 2.236508875120064565e-13 7.261392451688521908e-17
5.600000000000000000e+01 8.462007150885514571e-10 1.692401430177102914e-09 1.692401430177102914e-09 3.147302999999999962e+00 2.157533858100804606e-13 6.759191284776956979e-17
5.700000000000000000e+01 8.462021871142887909e-10 1.692404374228577582e-09 1.692404374228577582e-09 3.080696000000000101e+00 2.082675115966582199e-13 6.299682746420393750e-17
5.800000000000000000e+01 8.462036849676677949e-10 1.692407369935335590e-09 1.692407369935335590e-09 3.017339999999999911e+00 2.011651359954102001e-13 5.878583752057573553e-17
5.900000000000000000e+01 8.462052086488253677e-10 1.692410417297650735e-09 1.692410417297650735e-09 2.956761999999999890e+00 1.944204928925898598e-13 5.492104318999713801e-17
6.000000000000000000e+01 8.462067581579007856e-10 1.692413516315801571e-09 1.692413516315801571e-09 2.898794000000000093e+00 1.880099446964423626e-13 5.136883734875474613e-17
6.100000000000000000e+01 8.462083334950363239e-10 1.692416666990072648e-09 1.692416666990072648e-09 2.843777000000000221e+00 1.819117747496073133e-13 4.809935873865873137e-17
