#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
2.000000000000000000e+00 8.461595768787252922e-08 1.000000000169231953e+03 1.000000000169231953e+03 1.120678000000000111e+03 2.456080762008741670e-09 4.093467936681235944e-10
3.000000000000000000e+00 8.461596543499337324e-08 1.000000000169231953e+03 1.000000000169231953e+03 5.302083999999999833e+02 1.091591449781663194e-09 9.096595414847192853e-11
4.000000000000000000e+00 8.461597576448893482e-08 1.000000000169231953e+03 1.000000000169231953e+03 3.008263000000000034e+02 6.140201905021854174e-10 3.070100952510927346e-11
5.000000000000000000e+00 8.461598867636018014e-08 1.000000000169231953e+03 1.000000000169231953e+03 1.918406999999999982e+02 3.929729219213986692e-10 1.309909739737995499e-11
6.000000000000000000e+00 8.461600417060826061e-08 1.000000000169231953e+03 1.000000000169231953e+03 1.327290999999999883e+02 2.728978624454157985e-10 6.497568153462280263e-12
7.000000000000000000e+00 8.461602224723461885e-08 1.000000000169232067e+03 1.000000000169232067e+03 9.745541000000000054e+01 2.004963887354075228e-10 3.580292655989419935e-12
8.000000000000000000e+00 8.461604290624089598e-08 1.000000000169232067e+03 1.000000000169232067e+03 7.478772999999999627e+01 1.535050476255463544e-10 2.132014550354810522e-12
9.000000000000000000e+00 8.461606614762897135e-08 1.000000000169232180e+03 1.000000000169232180e+03 5.947968000000000188e+01 1.212879388646292380e-10 1.347643765162547224e-12
1.000000000000000000e+01 8.461609197140101549e-08 1.000000000169232180e+03 1.000000000169232180e+03 4.858726000000000056e+01 9.824323048034966731e-11 8.931202770940878864e-13
1.100000000000000000e+01 8.461612037755934450e-08 1.000000000169232294e+03 1.000000000169232294e+03 4.055893999999999977e+01 8.119275246309890618e-11 6.150966095689310769e-13
1.200000000000000000e+01 8.461615136610660535e-08 1.000000000169232294e+03 1.000000000169232294e+03 3.450979999999999848e+01 6.822446561135394963e-11 4.373363180214996797e-13
1.300000000000000000e+01 8.461618493704557739e-08 1.000000000169232408e+03 1.000000000169232408e+03 2.980572000000000088e+01 5.813208904162702540e-11 3.194070826463023618e-13
1.400000000000000000e+01 8.461622109037938403e-08 1.000000000169232408e+03 1.000000000169232408e+03 2.605933999999999884e+01 5.012409718385188070e-11 2.386861770659613593e-13
1.500000000000000000e+01 8.461625982611130754e-08 1.000000000169232521e+03 1.000000000169232521e+03 2.303153000000000006e+01 4.366365799126652311e-11 1.819319082969438530e-13
1.600000000000000000e+01 8.461630114424493457e-08 1.000000000169232635e+03 1.000000000169232635e+03 2.055631999999999948e+01 3.837626190638658859e-11 1.410891981852447991e-13
