#    L    TT             EE             BB             TE          
    91    0.24995E+04    0.63472E+00    0.23979E-02   -0.17637E+02
    92    0.25300E+04    0.65020E+00    0.24512E-02   -0.18280E+02
    93    0.25609E+04    0.66567E+00    0.25051E-02   -0.18929E+02
    94    0.25918E+04    0.68108E+00    0.25597E-02   -0.19581E+02
    95    0.26230E+04    0.69644E+00    0.26148E-02   -0.20238E+02
    96    0.26542E+04    0.71172E+00    0.26706E-02   -0.20899E+02
    97    0.26859E+04    0.72692E+00    0.27270E-02   -0.21562E+02
    98    0.27177E+04    0.74202E+00    0.27841E-02   -0.22226E+02
    99    0.27497E+04    0.75700E+00    0.28418E-02   -0.22894E+02
   100    0.27819E+04    0.77184E+00    0.29001E-02   -0.23561E+02
   101    0.28143E+04    0.78661E+00    0.29591E-02   -0.24231E+02
   102    0.28473E+04    0.80116E+00    0.30187E-02   -0.24900E+02
   103    0.28801E+04    0.81557E+00    0.30790E-02   -0.25570E+02
   104    0.29132E+04    0.82983E+00    0.31399E-02   -0.26238E+02
   105    0.29464E+04    0.84387E+00    0.32015E-02   -0.26905E+02
   106    0.29798E+04    0.85777E+00    0.32638E-02   -0.27571E+02
   107    0.30132E+04    0.87137E+00    0.33267E-02   -0.28234E+02
   108    0.30469E+04    0.88475E+00    0.33903E-02   -0.28894E+02
   109    0.30808E+04    0.89784E+00    0.34546E-02   -0.29551E+02
   110    0.31148E+04    0.91063E+00    0.35195E-02   -0.30203E+02
   111    0.31489E+04    0.92321E+00    0.35852E-02   -0.30852E+02
   112    0.31832E+04    0.93549E+00    0.36516E-02   -0.31496E+02
   113    0.32177E+04    0.94747E+00    0.37186E-02   -0.32134E+02
   114    0.32522E+04    0.95909E+00    0.37864E-02   -0.32765E+02
   115    0.32870E+04    0.97049E+00    0.38549E-02   -0.33389E+02
   116    0.33218E+04    0.98144E+00    0.39241E-02   -0.34007E+02
   117    0.33569E+04    0.99202E+00    0.39940E-02   -0.34615E+02
   118    0.33922E+04    0.10024E+01    0.40646E-02   -0.35217E+02
   119    0.34274E+04    0.10124E+01    0.41360E-02   -0.35808E+02
   120    0.34628E+04    0.10219E+01    0.42081E-02   -0.36390E+02
   121    0.34982E+04    0.10311E+01    0.42810E-02   -0.36961E+02
   122    0.35336E+04    0.10398E+01    0.43546E-02   -0.37522E+02
   123    0.35692E+04    0.10481E+01    0.44290E-02   -0.38073E+02
   124    0.36048E+04    0.10561E+01    0.45042E-02   -0.38610E+02
   125    0.36404E+04    0.10635E+01    0.45801E-02   -0.39135E+02
   126    0.36760E+04    0.10706E+01    0.46568E-02   -0.39648E+02
   127    0.37117E+04    0.10772E+01    0.47343E-02   -0.40148E+02
   128    0.37474E+04    0.10834E+01    0.48126E-02   -0.40634E+02
