#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.15356E+04    0.15014E+00    0.00000E+00   -0.37717E+00    0.12597E-06    0.74015E-03   -0.53293E-06
    55    0.15573E+04    0.15919E+00    0.00000E+00   -0.62797E+00    0.12535E-06    0.72611E-03   -0.56727E-06
    56    0.15794E+04    0.16852E+00    0.00000E+00   -0.88968E+00    0.12473E-06    0.71260E-03   -0.59813E-06
    57    0.16017E+04    0.17802E+00    0.00000E+00   -0.11625E+01    0.12410E-06    0.69958E-03   -0.62346E-06
    58    0.16244E+04    0.18771E+00    0.00000E+00   -0.14477E+01    0.12346E-06    0.68703E-03   -0.64066E-06
    59    0.16472E+04    0.19761E+00    0.00000E+00   -0.17467E+01    0.12282E-06    0.67492E-03   -0.64714E-06
    60    0.16703E+04    0.20777E+00    0.00000E+00   -0.20594E+01    0.12217E-06    0.66323E-03   -0.64031E-06
    61    0.16938E+04    0.21830E+00    0.00000E+00   -0.23852E+01    0.12151E-06    0.65193E-03   -0.61928E-06
    62    0.17172E+04    0.22915E+00    0.00000E+00   -0.27248E+01    0.12084E-06    0.64095E-03   -0.58992E-06
    63    0.17408E+04    0.24030E+00    0.00000E+00   -0.30785E+01    0.12017E-06    0.63026E-03   -0.55980E-06
    64    0.17647E+04    0.25175E+00    0.00000E+00   -0.34471E+01    0.11950E-06    0.61979E-03   -0.53646E-06
    65    0.17886E+04    0.26346E+00    0.00000E+00   -0.38306E+01    0.11882E-06    0.60950E-03   -0.52744E-06
    66    0.18128E+04    0.27537E+00    0.00000E+00   -0.42267E+01    0.11814E-06    0.59934E-03   -0.53824E-06
    67    0.18372E+04    0.28748E+00    0.00000E+00   -0.46334E+01    0.11745E-06    0.58933E-03   -0.56628E-06
    68    0.18619E+04    0.29984E+00    0.00000E+00   -0.50501E+01    0.11676E-06    0.57952E-03   -0.60697E-06
    69    0.18869E+04    0.31243E+00    0.00000E+00   -0.54758E+01    0.11608E-06    0.56993E-03   -0.65570E-06
    70    0.19122E+04    0.32529E+00    0.00000E+00   -0.59132E+01    0.11539E-06    0.56060E-03   -0.70791E-06
    71    0.19376E+04    0.33841E+00    0.00000E+00   -0.63653E+01    0.11469E-06    0.55157E-03   -0.75894E-06
    72    0.19633E+04    0.35177E+00    0.00000E+00   -0.68327E+01    0.11400E-06    0.54283E-03   -0.80399E-06
    73    0.19892E+04    0.36533E+00    0.00000E+00   -0.73148E+01    0.11331E-06    0.53440E-03   -0.83818E-06
    74    0.20152E+04    0.37905E+00    0.00000E+00   -0.78098E+01    0.11262E-06    0.52625E-03   -0.85666E-06
    75    0.20415E+04    0.39296E+00    0.00000E+00   -0.83150E+01    0.11192E-06    0.51841E-03   -0.85456E-06
    76    0.20681E+04    0.40703E+00    0.00000E+00   -0.88290E+01    0.11123E-06    0.51084E-03   -0.82972E-06
    77    0.20949E+04    0.42127E+00    0.00000E+00   -0.93522E+01    0.11054E-06    0.50352E-03   -0.79074E-06
    78    0.21221E+04    0.43571E+00    0.00000E+00   -0.98866E+01    0.10985E-06    0.49639E-03   -0.74890E-06
    79    0.21495E+04    0.45029E+00    0.00000E+00   -0.10429E+02    0.10916E-06    0.48939E-03   -0.71547E-06
    80    0.21772E+04    0.46503E+00    0.00000E+00   -0.10982E+02    0.10847E-06    0.48248E-03   -0.70171E-06
    81    0.22051E+04    0.47987E+00    0.00000E+00   -0.11547E+02    0.10779E-06    0.47562E-03   -0.71536E-06
    82    0.22333E+04    0.49484E+00    0.00000E+00   -0.12122E+02    0.10710E-06    0.46882E-03   -0.75015E-06
    83    0.22616E+04    0.50990E+00    0.00000E+00   -0.12706E+02    0.10642E-06    0.46213E-03   -0.79629E-06
    84    0.22903E+04    0.52506E+00    0.00000E+00   -0.13298E+02    0.10574E-06    0.45557E-03   -0.84402E-06
    85    0.23191E+04    0.54029E+00    0.00000E+00   -0.13899E+02    0.10507E-06    0.44917E-03   -0.88357E-06
    86    0.23481E+04    0.55559E+00    0.00000E+00   -0.14507E+02    0.10439E-06    0.44297E-03   -0.90746E-06
    87    0.23776E+04    0.57093E+00    0.00000E+00   -0.15121E+02    0.10372E-06    0.43694E-03   -0.91727E-06
    88    0.24071E+04    0.58634E+00    0.00000E+00   -0.15741E+02    0.10305E-06    0.43109E-03   -0.91684E-06
