#    L    TT             EE             BB             TE             PP             TP             EP          
  2385    0.10789E+03    0.31366E+01    0.00000E+00   -0.80372E+01    0.12654E-08    0.15758E-06    0.12865E-07
  2386    0.10782E+03    0.31078E+01    0.00000E+00   -0.79665E+01    0.12644E-08    0.15788E-06    0.12559E-07
  2387    0.10774E+03    0.30794E+01    0.00000E+00   -0.78949E+01    0.12634E-08    0.15818E-06    0.12254E-07
  2388    0.10765E+03    0.30515E+01    0.00000E+00   -0.78226E+01    0.12624E-08    0.15850E-06    0.11949E-07
  2389    0.10756E+03    0.30239E+01    0.00000E+00   -0.77496E+01    0.12614E-08    0.15882E-06    0.11644E-07
  2390    0.10748E+03    0.29968E+01    0.00000E+00   -0.76760E+01    0.12605E-08    0.15915E-06    0.11340E-07
  2391    0.10737E+03    0.29702E+01    0.00000E+00   -0.76016E+01    0.12595E-08    0.15950E-06    0.11036E-07
  2392    0.10727E+03    0.29439E+01    0.00000E+00   -0.75266E+01    0.12585E-08    0.15985E-06    0.10732E-07
  2393    0.10718E+03    0.29180E+01    0.00000E+00   -0.74510E+01    0.12575E-08    0.16021E-06    0.10429E-07
  2394    0.10706E+03    0.28926E+01    0.00000E+00   -0.73747E+01    0.12565E-08    0.16058E-06    0.10126E-07
  2395    0.10695E+03    0.28676E+01    0.00000E+00   -0.72981E+01    0.12555E-08    0.16095E-06    0.98234E-08
  2396    0.10683E+03    0.28432E+01    0.00000E+00   -0.72207E+01    0.12545E-08    0.16134E-06    0.95215E-08
  2397    0.10671E+03    0.28191E+01    0.00000E+00   -0.71429E+01    0.12536E-08    0.16173E-06    0.92202E-08
  2398    0.10658E+03    0.27955E+01    0.00000E+00   -0.70647E+01    0.12526E-08    0.16213E-06    0.89194E-08
  2399    0.10646E+03    0.27723E+01    0.00000E+00   -0.69860E+01    0.12516E-08    0.16255E-06    0.86193E-08
  2400    0.10632E+03    0.27496E+01    0.00000E+00   -0.69067E+01    0.12506E-08    0.16296E-06    0.83198E-08
  2401    0.10618E+03    0.27274E+01    0.00000E+00   -0.68271E+01    0.12497E-08    0.16339E-06    0.80209E-08
  2402    0.10604E+03    0.27057E+01    0.00000E+00   -0.67472E+01    0.12487E-08    0.16383E-06    0.77228E-08
  2403    0.10589E+03    0.26844E+01    0.00000E+00   -0.66668E+01    0.12477E-08    0.16427E-06    0.74255E-08
  2404    0.10574E+03    0.26636E+01    0.00000E+00   -0.65862E+01    0.12467E-08    0.16472E-06    0.71288E-08
  2405    0.10558E+03    0.26433E+01    0.00000E+00   -0.65054E+01    0.12458E-08    0.16518E-06    0.68330E-08
  2406    0.10542E+03    0.26234E+01    0.00000E+00   -0.64243E+01    0.12448E-08    0.16564E-06    0.65379E-08
  2407    0.10525E+03    0.26041E+01    0.00000E+00   -0.63430E+01    0.12438E-08    0.16611E-06    0.62437E-08
  2408    0.10508E+03    0.25853E+01    0.00000E+00   -0.62614E+01    0.12428E-08    0.16659E-06    0.59503E-08
  2409    0.10490E+03    0.25668E+01    0.00000E+00   -0.61799E+01    0.12419E-08    0.16708E-06    0.56577E-08
  2410    0.10473E+03    0.25489E+01    0.00000E+00   -0.60982E+01    0.12409E-08    0.16757E-06    0.53661E-08
  2411    0.10455E+03    0.25315E+01    0.00000E+00   -0.60165E+01    0.12399E-08    0.16808E-06    0.50753E-08
  2412    0.10435E+03    0.25145E+01    0.00000E+00   -0.59347E+01    0.12390E-08    0.16858E-06    0.47855E-08
  2413    0.10416E+03    0.24981E+01    0.00000E+00   -0.58530E+01    0.12380E-08    0.16910E-06    0.44966E-08
  2414    0.10396E+03    0.24821E+01    0.00000E+00   -0.57713E+01    0.12371E-08    0.16962E-06    0.42087E-08
  2415    0.10377E+03    0.24666E+01    0.00000E+00   -0.56896E+01    0.12361E-08    0.17014E-06    0.39218E-08
  2416    0.10357E+03    0.24516E+01    0.00000E+00   -0.56081E+01    0.12351E-08    0.17068E-06    0.36360E-08
  2417    0.10336E+03    0.24371E+01    0.00000E+00   -0.55266E+01    0.12342E-08    0.17122E-06    0.33511E-08
  2418    0.10315E+03    0.24230E+01    0.00000E+00   -0.54454E+01    0.12332E-08    0.17176E-06    0.30673E-08
  2419    0.10293E+03    0.24093E+01    0.00000E+00   -0.53644E+01    0.12323E-08    0.17232E-06    0.27846E-08
  2420    0.10271E+03    0.23963E+01    0.00000E+00   -0.52836E+01    0.12313E-08    0.17287E-06    0.25031E-08
  2421    0.10248E+03    0.23837E+01    0.00000E+00   -0.52031E+01    0.12304E-08    0.17344E-06    0.22226E-08
  2422    0.10226E+03    0.23716E+01    0.00000E+00   -0.51228E+01    0.12294E-08    0.17401E-06    0.19433E-08
  2423    0.10203E+03    0.23600E+01    0.00000E+00   -0.50428E+01    0.12284E-08    0.17458E-06    0.16652E-08
  2424    0.10179E+03    0.23488E+01    0.00000E+00   -0.49632E+01    0.12275E-08    0.17516E-06    0.13882E-08
  2425    0.10156E+03    0.23382E+01    0.00000E+00   -0.48839E+01    0.12265E-08    0.17574E-06    0.11125E-08
  2426    0.10131E+03    0.23281E+01    0.00000E+00   -0.48051E+01    0.12256E-08    0.17633E-06    0.83806E-09
  2427    0.10106E+03    0.23183E+01    0.00000E+00   -0.47266E+01    0.12246E-08    0.17693E-06    0.56485E-09
  2428    0.10082E+03    0.23092E+01    0.00000E+00   -0.46486E+01    0.12237E-08    0.17753E-06    0.29292E-09
  2429    0.10056E+03    0.23003E+01    0.00000E+00   -0.45712E+01    0.12227E-08    0.17814E-06    0.22307E-10
  2430    0.10031E+03    0.22921E+01    0.00000E+00   -0.44942E+01    0.12218E-08    0.17875E-06   -0.24698E-09
  2431    0.10004E+03    0.22843E+01    0.00000E+00   -0.44178E+01    0.12209E-08    0.17936E-06   -0.51491E-09
  2432    0.99785E+02    0.22770E+01    0.00000E+00   -0.43418E+01    0.12199E-08    0.17998E-06   -0.78147E-09
  2433    0.99507E+02    0.22701E+01    0.00000E+00   -0.42665E+01    0.12190E-08    0.18060E-06   -0.10466E-08
  2434    0.99242E+02    0.22636E+01    0.00000E+00   -0.41918E+01    0.12180E-08    0.18123E-06   -0.13104E-08
  2435    0.98968E+02    0.22577E+01    0.00000E+00   -0.41177E+01    0.12171E-08    0.18186E-06   -0.15727E-08
  2436    0.98693E+02    0.22522E+01    0.00000E+00   -0.40443E+01    0.12162E-08    0.18250E-06   -0.18335E-08
  2437    0.98417E+02    0.22472E+01    0.00000E+00   -0.39716E+01    0.12152E-08    0.18314E-06   -0.20929E-08
  2438    0.98132E+02    0.22426E+01    0.00000E+00   -0.38994E+01    0.12143E-08    0.18378E-06   -0.23507E-08
  2439    0.97846E+02    0.22385E+01    0.00000E+00   -0.38281E+01    0.12133E-08    0.18443E-06   -0.26070E-08
  2440    0.97565E+02    0.22348E+01    0.00000E+00   -0.37575E+01    0.12124E-08    0.18508E-06   -0.28618E-08
  2441    0.97268E+02    0.22315E+01    0.00000E+00   -0.36877E+01    0.12115E-08    0.18573E-06   -0.31150E-08
  2442    0.96977E+02    0.22288E+01    0.00000E+00   -0.36187E+01    0.12105E-08    0.18639E-06   -0.33666E-08
  2443    0.96678E+02    0.22265E+01    0.00000E+00   -0.35503E+01    0.12096E-08    0.18705E-06   -0.36166E-08
  2444    0.96376E+02    0.22245E+01    0.00000E+00   -0.34829E+01    0.12087E-08    0.18771E-06   -0.38649E-08
  2445    0.96074E+02    0.22231E+01    0.00000E+00   -0.34164E+01    0.12077E-08    0.18838E-06   -0.41116E-08
  2446    0.95769E+02    0.22220E+01    0.00000E+00   -0.33506E+01    0.12068E-08    0.18905E-06   -0.43565E-08
  2447    0.95463E+02    0.22213E+01    0.00000E+00   -0.32856E+01    0.12059E-08    0.18972E-06   -0.45998E-08
  2448    0.95148E+02    0.22211E+01    0.00000E+00   -0.32218E+01    0.12050E-08    0.19040E-06   -0.48414E-08
  2449    0.94839E+02    0.22214E+01    0.00000E+00   -0.31587E+01    0.12040E-08    0.19108E-06   -0.50811E-08
  2450    0.94521E+02    0.22220E+01    0.00000E+00   -0.30965E+01    0.12031E-08    0.19176E-06   -0.53192E-08
  2451    0.94201E+02    0.22230E+01    0.00000E+00   -0.30353E+01    0.12022E-08    0.19244E-06   -0.55554E-08
  2452    0.93872E+02    0.22244E+01    0.00000E+00   -0.29751E+01    0.12013E-08    0.19312E-06   -0.57898E-08
  2453    0.93556E+02    0.22262E+01    0.00000E+00   -0.29158E+01    0.12003E-08    0.19381E-06   -0.60224E-08
  2454    0.93232E+02    0.22285E+01    0.00000E+00   -0.28575E+01    0.11994E-08    0.19450E-06   -0.62531E-08
  2455    0.92905E+02    0.22310E+01    0.00000E+00   -0.28002E+01    0.11985E-08    0.19519E-06   -0.64821E-08
  2456    0.92577E+02    0.22340E+01    0.00000E+00   -0.27439E+01    0.11976E-08    0.19588E-06   -0.67092E-08
  2457    0.92248E+02    0.22374E+01    0.00000E+00   -0.26887E+01    0.11967E-08    0.19658E-06   -0.69344E-08
  2458    0.91909E+02    0.22411E+01    0.00000E+00   -0.26346E+01    0.11957E-08    0.19727E-06   -0.71577E-08
  2459    0.91584E+02    0.22451E+01    0.00000E+00   -0.25816E+01    0.11948E-08    0.19797E-06   -0.73792E-08
  2460    0.91250E+02    0.22495E+01    0.00000E+00   -0.25295E+01    0.11939E-08    0.19867E-06   -0.75987E-08
  2461    0.90906E+02    0.22542E+01    0.00000E+00   -0.24786E+01    0.11930E-08    0.19937E-06   -0.78164E-08
  2462    0.90577E+02    0.22594E+01    0.00000E+00   -0.24288E+01    0.11921E-08    0.20007E-06   -0.80322E-08
  2463    0.90238E+02    0.22647E+01    0.00000E+00   -0.23800E+01    0.11912E-08    0.20077E-06   -0.82460E-08
  2464    0.89897E+02    0.22703E+01    0.00000E+00   -0.23325E+01    0.11902E-08    0.20147E-06   -0.84579E-08
  2465    0.89563E+02    0.22763E+01    0.00000E+00   -0.22860E+01    0.11893E-08    0.20217E-06   -0.86678E-08
  2466    0.89220E+02    0.22827E+01    0.00000E+00   -0.22407E+01    0.11884E-08    0.20288E-06   -0.88758E-08
  2467    0.88875E+02    0.22894E+01    0.00000E+00   -0.21965E+01    0.11875E-08    0.20358E-06   -0.90819E-08
  2468    0.88529E+02    0.22962E+01    0.00000E+00   -0.21535E+01    0.11866E-08    0.20429E-06   -0.92859E-08
  2469    0.88181E+02    0.23034E+01    0.00000E+00   -0.21117E+01    0.11857E-08    0.20499E-06   -0.94880E-08
  2470    0.87832E+02    0.23109E+01    0.00000E+00   -0.20711E+01    0.11848E-08    0.20570E-06   -0.96881E-08
  2471    0.87489E+02    0.23185E+01    0.00000E+00   -0.20316E+01    0.11839E-08    0.20640E-06   -0.98861E-08
  2472    0.87144E+02    0.23265E+01    0.00000E+00   -0.19933E+01    0.11830E-08    0.20711E-06   -0.10082E-07
  2473    0.86799E+02    0.23347E+01    0.00000E+00   -0.19562E+01    0.11821E-08    0.20781E-06   -0.10276E-07
  2474    0.86451E+02    0.23433E+01    0.00000E+00   -0.19203E+01    0.11812E-08    0.20852E-06   -0.10468E-07
  2475    0.86103E+02    0.23520E+01    0.00000E+00   -0.18856E+01    0.11803E-08    0.20922E-06   -0.10658E-07
  2476    0.85760E+02    0.23609E+01    0.00000E+00   -0.18523E+01    0.11794E-08    0.20992E-06   -0.10846E-07
  2477    0.85409E+02    0.23701E+01    0.00000E+00   -0.18201E+01    0.11785E-08    0.21063E-06   -0.11032E-07
  2478    0.85064E+02    0.23795E+01    0.00000E+00   -0.17891E+01    0.11776E-08    0.21133E-06   -0.11215E-07
  2479    0.84710E+02    0.23890E+01    0.00000E+00   -0.17594E+01    0.11767E-08    0.21203E-06   -0.11397E-07
  2480    0.84369E+02    0.23988E+01    0.00000E+00   -0.17307E+01    0.11758E-08    0.21273E-06   -0.11577E-07
  2481    0.84013E+02    0.24088E+01    0.00000E+00   -0.17035E+01    0.11749E-08    0.21343E-06   -0.11754E-07
  2482    0.83670E+02    0.24189E+01    0.00000E+00   -0.16774E+01    0.11740E-08    0.21413E-06   -0.11929E-07
  2483    0.83318E+02    0.24293E+01    0.00000E+00   -0.16526E+01    0.11731E-08    0.21483E-06   -0.12102E-07
  2484    0.82970E+02    0.24398E+01    0.00000E+00   -0.16291E+01    0.11722E-08    0.21552E-06   -0.12274E-07
  2485    0.82627E+02    0.24506E+01    0.00000E+00   -0.16067E+01    0.11713E-08    0.21622E-06   -0.12442E-07
  2486    0.82284E+02    0.24614E+01    0.00000E+00   -0.15857E+01    0.11704E-08    0.21691E-06   -0.12609E-07
  2487    0.81938E+02    0.24723E+01    0.00000E+00   -0.15659E+01    0.11695E-08    0.21760E-06   -0.12774E-07
  2488    0.81596E+02    0.24834E+01    0.00000E+00   -0.15473E+01    0.11687E-08    0.21829E-06   -0.12936E-07
  2489    0.81252E+02    0.24947E+01    0.00000E+00   -0.15300E+01    0.11678E-08    0.21897E-06   -0.13096E-07
  2490    0.80910E+02    0.25061E+01    0.00000E+00   -0.15139E+01    0.11669E-08    0.21966E-06   -0.13254E-07
  2491    0.80570E+02    0.25176E+01    0.00000E+00   -0.14990E+01    0.11660E-08    0.22034E-06   -0.13410E-07
  2492    0.80228E+02    0.25291E+01    0.00000E+00   -0.14855E+01    0.11651E-08    0.22102E-06   -0.13563E-07
  2493    0.79889E+02    0.25410E+01    0.00000E+00   -0.14731E+01    0.11642E-08    0.22170E-06   -0.13714E-07
  2494    0.79552E+02    0.25527E+01    0.00000E+00   -0.14620E+01    0.11633E-08    0.22238E-06   -0.13863E-07
  2495    0.79215E+02    0.25646E+01    0.00000E+00   -0.14521E+01    0.11625E-08    0.22305E-06   -0.14010E-07
  2496    0.78879E+02    0.25767E+01    0.00000E+00   -0.14434E+01    0.11616E-08    0.22372E-06   -0.14155E-07
  2497    0.78545E+02    0.25888E+01    0.00000E+00   -0.14360E+01    0.11607E-08    0.22438E-06   -0.14297E-07
  2498    0.78211E+02    0.26008E+01    0.00000E+00   -0.14298E+01    0.11598E-08    0.22505E-06   -0.14437E-07
  2499    0.77881E+02    0.26131E+01    0.00000E+00   -0.14248E+01    0.11589E-08    0.22571E-06   -0.14574E-07
  2500    0.77550E+02    0.26254E+01    0.00000E+00   -0.14211E+01    0.11581E-08    0.22637E-06   -0.14709E-07
  2501    0.77222E+02    0.26376E+01    0.00000E+00   -0.14185E+01    0.11572E-08    0.22702E-06   -0.14842E-07
  2502    0.76895E+02    0.26500E+01    0.00000E+00   -0.14171E+01    0.11563E-08    0.22767E-06   -0.14973E-07
  2503    0.76569E+02    0.26624E+01    0.00000E+00   -0.14169E+01    0.11554E-08    0.22832E-06   -0.15101E-07
  2504    0.76246E+02    0.26749E+01    0.00000E+00   -0.14180E+01    0.11546E-08    0.22896E-06   -0.15227E-07
  2505    0.75925E+02    0.26873E+01    0.00000E+00   -0.14201E+01    0.11537E-08    0.22960E-06   -0.15351E-07
  2506    0.75605E+02    0.26999E+01    0.00000E+00   -0.14235E+01    0.11528E-08    0.23024E-06   -0.15472E-07
  2507    0.75286E+02    0.27123E+01    0.00000E+00   -0.14279E+01    0.11520E-08    0.23087E-06   -0.15591E-07
  2508    0.74971E+02    0.27248E+01    0.00000E+00   -0.14335E+01    0.11511E-08    0.23150E-06   -0.15708E-07
  2509    0.74657E+02    0.27373E+01    0.00000E+00   -0.14403E+01    0.11502E-08    0.23213E-06   -0.15823E-07
  2510    0.74345E+02    0.27497E+01    0.00000E+00   -0.14481E+01    0.11493E-08    0.23275E-06   -0.15935E-07
  2511    0.74036E+02    0.27621E+01    0.00000E+00   -0.14568E+01    0.11485E-08    0.23337E-06   -0.16045E-07
  2512    0.73728E+02    0.27744E+01    0.00000E+00   -0.14668E+01    0.11476E-08    0.23398E-06   -0.16152E-07
  2513    0.73424E+02    0.27870E+01    0.00000E+00   -0.14778E+01    0.11467E-08    0.23459E-06   -0.16257E-07
  2514    0.73121E+02    0.27992E+01    0.00000E+00   -0.14900E+01    0.11459E-08    0.23519E-06   -0.16360E-07
  2515    0.72821E+02    0.28114E+01    0.00000E+00   -0.15031E+01    0.11450E-08    0.23580E-06   -0.16461E-07
  2516    0.72523E+02    0.28235E+01    0.00000E+00   -0.15173E+01    0.11442E-08    0.23639E-06   -0.16559E-07
  2517    0.72228E+02    0.28356E+01    0.00000E+00   -0.15324E+01    0.11433E-08    0.23698E-06   -0.16656E-07
  2518    0.71936E+02    0.28477E+01    0.00000E+00   -0.15485E+01    0.11424E-08    0.23757E-06   -0.16749E-07
  2519    0.71646E+02    0.28595E+01    0.00000E+00   -0.15655E+01    0.11416E-08    0.23816E-06   -0.16841E-07
  2520    0.71359E+02    0.28714E+01    0.00000E+00   -0.15836E+01    0.11407E-08    0.23874E-06   -0.16930E-07
  2521    0.71074E+02    0.28831E+01    0.00000E+00   -0.16025E+01    0.11399E-08    0.23931E-06   -0.17017E-07
  2522    0.70792E+02    0.28947E+01    0.00000E+00   -0.16223E+01    0.11390E-08    0.23988E-06   -0.17102E-07
  2523    0.70514E+02    0.29063E+01    0.00000E+00   -0.16431E+01    0.11381E-08    0.24044E-06   -0.17184E-07
  2524    0.70237E+02    0.29177E+01    0.00000E+00   -0.16648E+01    0.11373E-08    0.24101E-06   -0.17265E-07
  2525    0.69964E+02    0.29289E+01    0.00000E+00   -0.16873E+01    0.11364E-08    0.24156E-06   -0.17343E-07
  2526    0.69694E+02    0.29400E+01    0.00000E+00   -0.17106E+01    0.11356E-08    0.24211E-06   -0.17418E-07
  2527    0.69425E+02    0.29509E+01    0.00000E+00   -0.17350E+01    0.11347E-08    0.24266E-06   -0.17492E-07
  2528    0.69161E+02    0.29618E+01    0.00000E+00   -0.17600E+01    0.11339E-08    0.24320E-06   -0.17563E-07
  2529    0.68901E+02    0.29725E+01    0.00000E+00   -0.17859E+01    0.11330E-08    0.24373E-06   -0.17632E-07
  2530    0.68644E+02    0.29831E+01    0.00000E+00   -0.18125E+01    0.11322E-08    0.24426E-06   -0.17698E-07
  2531    0.68388E+02    0.29935E+01    0.00000E+00   -0.18399E+01    0.11313E-08    0.24479E-06   -0.17763E-07
  2532    0.68137E+02    0.30038E+01    0.00000E+00   -0.18680E+01    0.11305E-08    0.24531E-06   -0.17825E-07
  2533    0.67889E+02    0.30137E+01    0.00000E+00   -0.18970E+01    0.11296E-08    0.24582E-06   -0.17885E-07
  2534    0.67644E+02    0.30236E+01    0.00000E+00   -0.19266E+01    0.11288E-08    0.24633E-06   -0.17942E-07
  2535    0.67402E+02    0.30332E+01    0.00000E+00   -0.19570E+01    0.11279E-08    0.24684E-06   -0.17998E-07
  2536    0.67162E+02    0.30427E+01    0.00000E+00   -0.19880E+01    0.11271E-08    0.24734E-06   -0.18051E-07
  2537    0.66927E+02    0.30521E+01    0.00000E+00   -0.20196E+01    0.11262E-08    0.24783E-06   -0.18102E-07
  2538    0.66695E+02    0.30612E+01    0.00000E+00   -0.20519E+01    0.11254E-08    0.24832E-06   -0.18151E-07
  2539    0.66466E+02    0.30701E+01    0.00000E+00   -0.20849E+01    0.11246E-08    0.24880E-06   -0.18197E-07
  2540    0.66240E+02    0.30788E+01    0.00000E+00   -0.21186E+01    0.11237E-08    0.24927E-06   -0.18241E-07
  2541    0.66018E+02    0.30873E+01    0.00000E+00   -0.21527E+01    0.11229E-08    0.24974E-06   -0.18283E-07
  2542    0.65798E+02    0.30956E+01    0.00000E+00   -0.21875E+01    0.11220E-08    0.25021E-06   -0.18323E-07
  2543    0.65582E+02    0.31036E+01    0.00000E+00   -0.22228E+01    0.11212E-08    0.25067E-06   -0.18361E-07
  2544    0.65370E+02    0.31114E+01    0.00000E+00   -0.22588E+01    0.11204E-08    0.25112E-06   -0.18396E-07
  2545    0.65162E+02    0.31190E+01    0.00000E+00   -0.22952E+01    0.11195E-08    0.25156E-06   -0.18429E-07
  2546    0.64957E+02    0.31263E+01    0.00000E+00   -0.23322E+01    0.11187E-08    0.25200E-06   -0.18460E-07
  2547    0.64756E+02    0.31335E+01    0.00000E+00   -0.23696E+01    0.11179E-08    0.25244E-06   -0.18489E-07
  2548    0.64557E+02    0.31404E+01    0.00000E+00   -0.24075E+01    0.11170E-08    0.25286E-06   -0.18515E-07
  2549    0.64362E+02    0.31470E+01    0.00000E+00   -0.24459E+01    0.11162E-08    0.25329E-06   -0.18539E-07
  2550    0.64172E+02    0.31534E+01    0.00000E+00   -0.24848E+01    0.11154E-08    0.25370E-06   -0.18562E-07
  2551    0.63983E+02    0.31595E+01    0.00000E+00   -0.25240E+01    0.11145E-08    0.25411E-06   -0.18581E-07
  2552    0.63799E+02    0.31655E+01    0.00000E+00   -0.25638E+01    0.11137E-08    0.25451E-06   -0.18599E-07
  2553    0.63620E+02    0.31711E+01    0.00000E+00   -0.26039E+01    0.11129E-08    0.25491E-06   -0.18615E-07
  2554    0.63442E+02    0.31765E+01    0.00000E+00   -0.26442E+01    0.11120E-08    0.25530E-06   -0.18628E-07
  2555    0.63268E+02    0.31816E+01    0.00000E+00   -0.26850E+01    0.11112E-08    0.25568E-06   -0.18639E-07
  2556    0.63097E+02    0.31865E+01    0.00000E+00   -0.27261E+01    0.11104E-08    0.25605E-06   -0.18648E-07
  2557    0.62931E+02    0.31910E+01    0.00000E+00   -0.27675E+01    0.11095E-08    0.25642E-06   -0.18655E-07
  2558    0.62767E+02    0.31953E+01    0.00000E+00   -0.28090E+01    0.11087E-08    0.25679E-06   -0.18660E-07
  2559    0.62607E+02    0.31994E+01    0.00000E+00   -0.28508E+01    0.11079E-08    0.25714E-06   -0.18663E-07
  2560    0.62451E+02    0.32032E+01    0.00000E+00   -0.28929E+01    0.11071E-08    0.25749E-06   -0.18663E-07
  2561    0.62298E+02    0.32066E+01    0.00000E+00   -0.29352E+01    0.11062E-08    0.25783E-06   -0.18662E-07
  2562    0.62149E+02    0.32099E+01    0.00000E+00   -0.29777E+01    0.11054E-08    0.25817E-06   -0.18658E-07
  2563    0.62003E+02    0.32128E+01    0.00000E+00   -0.30202E+01    0.11046E-08    0.25850E-06   -0.18653E-07
  2564    0.61859E+02    0.32155E+01    0.00000E+00   -0.30630E+01    0.11038E-08    0.25882E-06   -0.18645E-07
  2565    0.61720E+02    0.32178E+01    0.00000E+00   -0.31059E+01    0.11030E-08    0.25914E-06   -0.18635E-07
  2566    0.61584E+02    0.32201E+01    0.00000E+00   -0.31487E+01    0.11021E-08    0.25944E-06   -0.18624E-07
  2567    0.61452E+02    0.32220E+01    0.00000E+00   -0.31917E+01    0.11013E-08    0.25975E-06   -0.18610E-07
  2568    0.61322E+02    0.32235E+01    0.00000E+00   -0.32347E+01    0.11005E-08    0.26004E-06   -0.18594E-07
  2569    0.61195E+02    0.32247E+01    0.00000E+00   -0.32779E+01    0.10997E-08    0.26033E-06   -0.18576E-07
  2570    0.61073E+02    0.32256E+01    0.00000E+00   -0.33209E+01    0.10989E-08    0.26061E-06   -0.18557E-07
  2571    0.60953E+02    0.32262E+01    0.00000E+00   -0.33639E+01    0.10981E-08    0.26089E-06   -0.18535E-07
  2572    0.60837E+02    0.32265E+01    0.00000E+00   -0.34069E+01    0.10972E-08    0.26115E-06   -0.18511E-07
  2573    0.60723E+02    0.32266E+01    0.00000E+00   -0.34497E+01    0.10964E-08    0.26141E-06   -0.18486E-07
  2574    0.60614E+02    0.32264E+01    0.00000E+00   -0.34927E+01    0.10956E-08    0.26167E-06   -0.18458E-07
  2575    0.60507E+02    0.32259E+01    0.00000E+00   -0.35356E+01    0.10948E-08    0.26191E-06   -0.18429E-07
  2576    0.60404E+02    0.32251E+01    0.00000E+00   -0.35779E+01    0.10940E-08    0.26215E-06   -0.18398E-07
  2577    0.60303E+02    0.32241E+01    0.00000E+00   -0.36204E+01    0.10932E-08    0.26238E-06   -0.18364E-07
  2578    0.60204E+02    0.32227E+01    0.00000E+00   -0.36627E+01    0.10924E-08    0.26261E-06   -0.18329E-07
  2579    0.60110E+02    0.32210E+01    0.00000E+00   -0.37048E+01    0.10916E-08    0.26283E-06   -0.18292E-07
  2580    0.60019E+02    0.32190E+01    0.00000E+00   -0.37467E+01    0.10908E-08    0.26304E-06   -0.18253E-07
  2581    0.59930E+02    0.32167E+01    0.00000E+00   -0.37883E+01    0.10900E-08    0.26324E-06   -0.18213E-07
  2582    0.59844E+02    0.32141E+01    0.00000E+00   -0.38297E+01    0.10892E-08    0.26344E-06   -0.18170E-07
  2583    0.59761E+02    0.32113E+01    0.00000E+00   -0.38709E+01    0.10883E-08    0.26363E-06   -0.18126E-07
  2584    0.59681E+02    0.32081E+01    0.00000E+00   -0.39119E+01    0.10875E-08    0.26381E-06   -0.18080E-07
  2585    0.59604E+02    0.32048E+01    0.00000E+00   -0.39524E+01    0.10867E-08    0.26398E-06   -0.18032E-07
  2586    0.59530E+02    0.32010E+01    0.00000E+00   -0.39928E+01    0.10859E-08    0.26415E-06   -0.17982E-07
  2587    0.59459E+02    0.31970E+01    0.00000E+00   -0.40327E+01    0.10851E-08    0.26431E-06   -0.17931E-07
  2588    0.59391E+02    0.31927E+01    0.00000E+00   -0.40724E+01    0.10843E-08    0.26446E-06   -0.17877E-07
  2589    0.59325E+02    0.31881E+01    0.00000E+00   -0.41117E+01    0.10835E-08    0.26461E-06   -0.17822E-07
  2590    0.59262E+02    0.31832E+01    0.00000E+00   -0.41507E+01    0.10827E-08    0.26474E-06   -0.17766E-07
  2591    0.59202E+02    0.31781E+01    0.00000E+00   -0.41892E+01    0.10819E-08    0.26487E-06   -0.17707E-07
  2592    0.59144E+02    0.31726E+01    0.00000E+00   -0.42273E+01    0.10811E-08    0.26500E-06   -0.17647E-07
  2593    0.59088E+02    0.31668E+01    0.00000E+00   -0.42649E+01    0.10803E-08    0.26511E-06   -0.17585E-07
  2594    0.59035E+02    0.31608E+01    0.00000E+00   -0.43022E+01    0.10795E-08    0.26522E-06   -0.17521E-07
  2595    0.58984E+02    0.31546E+01    0.00000E+00   -0.43390E+01    0.10787E-08    0.26532E-06   -0.17456E-07
  2596    0.58937E+02    0.31480E+01    0.00000E+00   -0.43754E+01    0.10780E-08    0.26541E-06   -0.17389E-07
  2597    0.58892E+02    0.31411E+01    0.00000E+00   -0.44113E+01    0.10772E-08    0.26550E-06   -0.17320E-07
  2598    0.58849E+02    0.31339E+01    0.00000E+00   -0.44466E+01    0.10764E-08    0.26557E-06   -0.17250E-07
  2599    0.58808E+02    0.31266E+01    0.00000E+00   -0.44814E+01    0.10756E-08    0.26564E-06   -0.17178E-07
  2600    0.58771E+02    0.31188E+01    0.00000E+00   -0.45158E+01    0.10748E-08    0.26570E-06   -0.17105E-07
  2601    0.58734E+02    0.31110E+01    0.00000E+00   -0.45496E+01    0.10740E-08    0.26576E-06   -0.17029E-07
  2602    0.58701E+02    0.31027E+01    0.00000E+00   -0.45829E+01    0.10732E-08    0.26581E-06   -0.16953E-07
  2603    0.58670E+02    0.30941E+01    0.00000E+00   -0.46156E+01    0.10724E-08    0.26584E-06   -0.16874E-07
  2604    0.58641E+02    0.30854E+01    0.00000E+00   -0.46478E+01    0.10716E-08    0.26588E-06   -0.16795E-07
  2605    0.58614E+02    0.30763E+01    0.00000E+00   -0.46794E+01    0.10708E-08    0.26590E-06   -0.16713E-07
  2606    0.58589E+02    0.30671E+01    0.00000E+00   -0.47103E+01    0.10701E-08    0.26591E-06   -0.16630E-07
  2607    0.58565E+02    0.30575E+01    0.00000E+00   -0.47407E+01    0.10693E-08    0.26592E-06   -0.16546E-07
  2608    0.58544E+02    0.30477E+01    0.00000E+00   -0.47704E+01    0.10685E-08    0.26592E-06   -0.16460E-07
  2609    0.58524E+02    0.30377E+01    0.00000E+00   -0.47996E+01    0.10677E-08    0.26592E-06   -0.16372E-07
  2610    0.58507E+02    0.30275E+01    0.00000E+00   -0.48280E+01    0.10669E-08    0.26590E-06   -0.16284E-07
